full link,volume,chapter,chapter number,pages,text
"Vol. II, XXIII",2,EDWARD V AND RICHARD III,XXIII,P. 518-526,"In each of these successive alterations, the only rule of government, which is intelligible or carries any authority with it, is the established practice of the age, and the maxims of administration, which are at that time prevalent, and universally assented to. Those who, from a pretended respect to antiquity, appeal at every turn to an original plan of the constitution, only cover their turbulent spirit and their private ambition under the appearance of venerable forms; and whatever period they pitch on for their model, they may still be carried back to a more ancient period, where they will find the measures of power entirely different, and where every circumstance, by reason of the greater barbarity of the times, will appear still less worthy of imitation. Above all, a civilized nation, like the English, who have happily established the most perfect and most accurate system of liberty that was ever found compatible with government, ought to be cautious in appealing to the practice of their ancestors, or regarding the maxims of uncultivated ages as certain rules for their present conduct. An acquaintance with the ancient periods of their government is chiefly useful by instructing them to cherish their present constitution, from a comparison or contrast with the condition of those distant times. And it is also curious, by shewing them the remote, and commonly faint and disfigured originals of the most finished and most noble institutions, and by instructing them in the great mixture of accident, which commonly concurs with a small ingredient of wisdom and foresight, in erecting the complicated fabric of the most perfect government."
Vol. 3 XXVI,3,,XXVI,P. 76,"The encrease of the arts, more effectually than all the severities of law, put an end to this pernicious practice. The nobility, instead of vying with each other, in the number and boldness of their retainers, acquired by degrees a more civilized species of emulation, and endeavoured to excel in the splendour and elegance of their equipage, houses, and tables. The common people, no longer maintained in vicious idleness by their superiors, were obliged to learn some calling or industry, and became useful both to themselves and to others. And it must be acknowledged, in spite of those who declaim so violently against refinement in the arts, or what they are pleased to call luxury, that, as much as an industrious tradesman is both a better man and a better citizen than one of those idle retainers, who formerly depended on the great families;"
"Vol 3, XXIX",3,,XXIX,P. 134-135,"DURING SOME YEARS, many parts of Europe had been agitated with those religious controversies, which produced the reformation, one of the greatest events in history: But as it was not till this time, that the king of England publicly took part in the quarrel, we had no occasion to give any account of its rise and progress. It will now be necessary to explain these theological disputes; or what is more material, to trace from their origin those abuses, which so generally diffused the opinion, that a reformation of the church or ecclesiastical order was become highly expedient, if not absolutely necessary. We shall be better enabled to comprehend the subject, if we take the matter a little higher, and reflect a moment on the reasons, why there must be an ecclesiastical order, and a public establishment of religion in every civilized community. The importance of the present occasion will, I hope, excuse this short digression."
"Vol 3, XXIX",3,,XXIX,P. 135,"Most of the arts and professions in a state are of such a nature, that, while they promote the interest of the society, they are also useful or agreeable to some individuals; and in that case, the constant rule of the magistrate, except, perhaps, on the first introduction of any art, is, to leave the profession to itself, and trust its encouragement to those who reap the benefit of it. The artizans, finding their profits to rise by the favour of their customers, encrease, as much as possible, their skill and industry; and as matters are not disturbed by any injudicious tampering, the commodity is always sure to be at all times nearly proportioned to the demand."
"Vol 3, XXIX",3,,XXIX,P. 136,"But there are also some callings, which, though useful and even necessary in a state, bring no particular advantage or pleasure to any individual; and the supreme power is obliged to alter its conduct with regard to the retainers of those professions. It must give them public encouragement in order to their subsistence; and it must provide against that negligence, to which they will naturally be subject, either by annexing peculiar honours to the profession, by establishing a long subordination of ranks and a strict dependance, or by some other expedient. The persons, employed in the finances, armies, fleets, and magistracy, are instances of this order of men."
"Vol 3, XXIX",3,,XXIX,P. 137,"It may naturally be thought, at first sight, that the ecclesiastics belong to the first class, and that their encouragement, as well as that of lawyers and physicians, may safely be entrusted to the liberality of individuals, who are attached to their doctrines, and who find benefit or consolation from their spiritual ministry and assistance. Their industry and vigilance will, no doubt, be whetted by such an additional motive; and their skill in the profession, as well as their address in governing the minds of the people, must receive daily encrease, from their encreasing practice, study, and attention."
"Vol 3, XXIX",3,,XXIX,P. 135-136,"But if we consider the matter more closely, we shall find, that this interested diligence of the clergy is what every wise legislator will study to prevent; because in every religion, except the true, it is highly pernicious, and it has even a natural tendency to pervert the true, by infusing into it a strong mixture of superstition, folly, and delusion. Each ghostly practitioner, in order to render himself more precious and sacred in the eyes of his retainers, will inspire them with the most violent abhorrence of all other sects, and continually endeavour, by some novelty, to excite the languid devotion of his audience. No regard will be paid to truth, morals, or decency in the doctrines inculcated. Every tenet will be adopted that best suits the disorderly affections of the human frame. Customers will be drawn to each conventicle by new industry and address in practising on the passions and credulity of the populace. And in the end, the civil magistrate will find, that he has dearly paid for his pretended frugality, in saving a fixed establishment for the priests; and that in reality the most decent and advantageous composition, which he can make with the spiritual guides, is to bribe their indolence, by assigning stated salaries to their profession, and rendering it superfluous for them to be farther active, than merely to prevent their flock from straying in quest of new pastures. And in this manner ecclesiastical establishments, though commonly they arose at first from religious views, prove in the end advantageous to the political interests of society."
"Vol 3, XXIX",3,,XXIX,P. 136,"The large revenues, privileges, immunities, and powers of the clergy rendered them formidable to the civil magistrate, and armed with too extensive authority an order of men, who always adhere closely together, and who never want a plausible pretence for their encroachments and usurpations. The higher dignities of the church served, indeed, to the support of gentry and nobility; but by the establishment of monasteries, many of the lowest vulgar were taken from the useful arts, and maintained in those receptacles of sloth and ignorance. The supreme head of the church was a foreign potentate, guided by interests, always different from those of the community, sometimes contrary to them. And as the hierarchy was necessarily solicitous to preserve an unity of faith, rites, and ceremonies, all liberty of thought ran a manifest risque of being extinguished; and violent persecutions, or what was worse, a stupid and abject credulity took place every where."
"Vol 3, XXIX",3,,XXIX,P. 137,"To encrease these evils, the church, though she possessed large revenues, was not contented with her acquisitions, but retained a power of practising farther on the ignorance of mankind. She even bestowed on each individual priest a power of enriching himself by the voluntary oblations of the faithful, and left him still an urgent motive for diligence and industry in his calling. And thus, that church, though an expensive and burthensome establishment, was liable to many of the inconveniencies, which belong to an order of priests, trusted entirely to their own art and invention for attaining a subsistence."
"Vol 3, XXIX",3,,XXIX,P. 140,"The quick and surprising progress of this bold sect may justly in part be ascribed to the late invention of printing, and revival of learning: Not that reason bore any considerable share, in opening men's eyes with regard to the impostures of the Romish Church: For of all branches of literature, philosophy had, as yet, and till long afterwards, made the most inconsiderable progress; neither is there any instance that argument has ever been able to free the people from that enormous load of absurdity, with which superstition has every where overwhelmed them: Not to mention, that the rapid advance of the Lutheran doctrine, and the violence, with which it was embraced, prove sufficiently, that it owed not its success to reason and reflection. The art of printing and the revival of learning forwarded its progress in another manner. By means of that art, the books of Luther and his sectaries, full of vehemence, declamation, and a rude eloquence, were propagated more quickly, and in greater numbers. The minds of men, somewhat awakened from a profound sleep of so many centuries, were prepared for every novelty, and scrupled less to tread in any unusual"
"Vol 3, XXIX",3,,XXIX,P. 146,"That where a small state entered into so close a confederacy with a greater, it must always expect this treatment, as a consequence of the unequal alliance; but there were peculiar circumstances in the situation of the kingdoms, which, in the present case, rendered it inevitable: That France was so distant and so divided from them by sea, that she scarcely could, by any means, and never could in time, send succours to the Scots, sufficient to protect them against ravages from the neighbouring kingdom: That nature had, in a manner, formed an alliance between the two British nations; having enclosed them in the same island; given them the same manners, language, laws, and form of government; and prepared everything for an intimate union between them: And that, if national antipathies were abolished, which would soon be the effect of peace, these two kingdoms, secured by the ocean and by their domestic force, could set at defiance all foreign enemies, and remain for ever safe and unmolested."
"Vol. 3, XXXVII",3,,XXXVII,P. 430-341,"THE SUCCESS, which Gardiner, from his cautious and prudent conduct, had met with in governing the parliament, and engaging them to concur both in the Spanish match, and in the re-establishment of the ancient religion, two points to which, it was believed. they bore an extreme aversion, had so raised his character for wisdom and policy, that his opinion was received as an oracle in the council; and his authority, as it was always great in his own party, no longer suffered any opposition or controul. Cardinal Pole himself, though more beloved on account of his virtue and candour, and though superior in birth and station, had not equal weight in public deliberations; and while his learning, piety, and humanity were extremely respected, he was represented more as a good man than a great minister. A very important question was frequently debated, before the queen and council, by these two ecclesiastics; whether the laws lately revived against heretics should be put in execution, or should only be employed to restrain, by terror, the bold attempts of these zealots? Pole was very sincere in his religious principles; and though his moderation had made him be suspected at Rome of a tendency towards Lutheranism, he was seriously persuaded of the catholic doctrines, and thought that no consideration of human policy ought ever to come in competition with such important interests. Gardiner, on the contrary, had always made his religion subservient to his schemes of safety or advancement; and by his unlimited complaisance to Henry, he had shown, that, had he not been pushed to extremity under the late minority, he was sufficiently disposed to make a sacrifice of his principles to the established theology. This was the well-known character of these two great counsellors; yet such is the prevalence of temper above system, that the benevolent disposition of Pole led him to advise a toleration of the heretical tenets, which he highly blamed; while the severe manners of Gardiner inclined him to support, by persecution, that religion, which, at the bottom, he regarded with great indifference.^l[1] This circumstance of public conduct was of the highest importance; and from being the object of deliberation in the council, it soon became the subject of discourse throughout the nation. We shall relate, in a few words, the topics, by which each side supported, or might have supported, their scheme of policy; and shall display the opposite reasons, which have been employed, with regard to an argument that ever has been, and ever will be so much canvassed."
"Vol. 3, XXXVII",3,,XXXVII,P. 431-433,"The practice of persecution, said the defenders of Pole's opinion, is the scandal of all religion; and the theological animosity, so fierce and violent, far from being an argument of men's conviction in their opposite sects, is a certain proof, that they have never reached any serious persuasion with regard to these remote and sublime subjects. Even those, who are the most impatient of contradiction in other controversies, are mild and moderate in comparison of polemical divines; and wherever a man's knowledge and experience give him a perfect assurance in his own opinion, he regards with contempt, rather than anger, the opposition and mistakes of others. But while men zealously maintain what they neither clearly comprehend, nor entirely believe, they are shaken in their imagined faith, by the opposite persuasion, or even doubts of other men; and vent on their antagonists that impatience, which is the natural result of so disagreeable a state of the understanding. They then easily embrace any pretence for representing opponents as impious and profane; and if they can also find a colour for connecting this violence with the interests of civil government, they can no longer be restrained from giving uncontrouled scope to vengeance and resentment. But surely never enterprize was more unfortunate than that of founding persecution upon policy, or endeavouring, for the sake of peace, to settle an entire uniformity of opinion, in questions which, of all others, are least subjected to the criterion of human reason. The universal and uncontradicted prevalence of one opinion in religious subjects, can be owing at first to the stupid ignorance alone and barbarism of the people, who never indulge themselves in any speculation or enquiry; and there is no expedient for maintaining that uniformity, so fondly sought after, but by banishing for ever all curiosity and all improvement in science and cultivation. It may not, indeed, appear difficult to check, by a steady severity, the first beginnings of controversy; but besides that this policy exposes for ever the people to all the abject terrors of superstition, and the magistrate to the endless encroachments of ecclesiastics, it also renders men so delicate, that they can never endure to hear of opposition; and they will some time pay dearly for that false tranquillity, in which they have been so long indulged. As healthful bodies are ruined by too nice a regimen, and are thereby rendered incapable of bearing the unavoidable incidents of human life; a people, who never were allowed to imagine, that their principles could be contested, fly out into the most outrageous violence, when any event (and such events are common) produces a faction among their clergy, and gives rise to any difference in tenet or opinion. But whatever may be said in favour of suppressing, by persecution, the first beginnings of heresy, no solid argument can be alleged for extending severity towards multitudes, or endeavouring, by capital punishments, to extirpate an opinion, which has diffused itself among men of every rank and station. Besides the extreme barbarity of such an attempt, it commonly proves ineffectual to the purpose intended; and serves only to make men more obstinate in their persuasion, and to encrease the number of their proselytes. The melancholy, with which the fear of death, torture, and persecution inspires the sectaries, is the proper disposition for fostering religious zeal: The prospect of eternal rewards, when brought near, overpowers the dread of temporal punishments: The glory of martyrdom stimulates all the more furious zealots, especially the leaders and preachers: Where a violent animosity is excited by oppression, men naturally pass, from hating the persons of their tyrants, to a more violent abhorrence of their doctrines: And the spectators, moved with pity towards the supposed martyrs, are easily seduced to embrace those principles, which can inspire men with a constancy that appears almost supernatural. Open the door to toleration, mutual hatred relaxes among the sectaries; their attachment to their particular modes of religion decays; the common occupations and pleasures of life succeed to the acrimony of disputation; and the same man, who, in other circumstances, would have braved flames and tortures, is induced to change his sect from the smallest prospect of favour and advancement, or even from the frivolous hope of becoming more fashionable in his principles. If any exception can be admitted to this maxim of toleration, it will only be where a theology altogether new, nowise connected with the ancient religion of the state, is imported from foreign countries, and may easily, at one blow, be eradicated, without leaving the seeds of future innovation. But as this exception would imply some apology for the ancient pagan persecutions, or for the extirpation of Christianity in China and Japan; it ought surely, on account of this detested consequence, to be rather buried in eternal silence and oblivion."
"Vol. 3, XXXVII",3,,XXXVII,P. 437,"It is needless to be particular in enumerating all the cruelties practised in England during the course of three years that these persecutions lasted: The savage barbarity on the one hand, and the patient constancy on the other, are so similar in all those martyrdoms, that the narrative, little agreeable in itself, would never be relieved by any variety. Human nature appears not, on any occasion, so detestable, and at the same time so absurd, as in these religious persecutions, which sink men below infernal spirits in wickedness, and below the beasts in folly. A few instances only may be worth preserving, in order, if possible, to warn zealous bigots, for ever to avoid such odious and such fruitless barbarity."
"Vol. 4, XXXVIII",4,ELIZABETH,XXXVIII,P. 3-4,"IN A NATION SO divided as the English, it could scarcely be expected, that the death of one sovereign, and the accession of another, who was generally believed to have embraced opposite principles to those which prevailed, could be the object of universal satisfaction: Yet so much were men displeased with the present conduct of affairs, and such apprehensions were entertained of futurity, that the people, overlooking their theological disputes, expressed a general and unfeigned joy that the scepter had passed into the hand of Elizabeth. That princess had discovered great prudence in her conduct during the reign of her sister; and as men were sensible of the imminent danger, to which she was every moment exposed, compassion towards her situation, and concern for her safety, had rendered her, to an uncommon degree, the favourite of the nation. A parliament had been assembled a few days before Mary's death; and when Heathe, archbishop of York, then chancellor, notified to them that event, scarcely an interval of regret appeared; and the two houses immediately resounded with the joyful acclamations of ""God save queen Elizabeth: Long and happily may she reign."" The people, less actuated by faction, and less influenced by private views, expressed a joy still more general and hearty on her proclamation; and the auspicious commencement of this reign prognosticated that felicity and glory, which, during its whole course, so uniformly attended it.^a[1]"
"Vol. 4, XXXVIII",4,ELIZABETH,XXXVIII,P. 12-13,"The commons also made a sacrifice to the queen, more difficult to obtain than that of any articles of faith: They voted a subsidy of four shillings in the pound on land, and two shillings and eight pence on moveables, together with two fifteenths.^w[21] The house in no instance departed from the most respectful deference and complaisance towards the queen. Even the importunate address which they made her on the conclusion of the session, to fix her choice of a husband, could not, they supposed, be very disagreeable to one of her sex and age. The address was couched in the most respectful expressions; yet met with a refusal from the queen. She told the speaker, that, as the application from the house was conceived in general terms, only recommending marriage, without pretending to direct her choice of a husband, she could not take offence at the address, or regard it otherwise than as a new instance of their affectionate attachment to her: That any farther interposition on their part would have ill become either them to make as subjects, or her to hear as an independent princess: That even while she was a private person, and exposed to much danger, she had always declined that engagement, which she regarded as an incumbrance; much more, at present, would she persevere in this sentiment, when the charge of a great kingdom was committed to her, and her life ought to be entirely devoted to promoting the interests of religion and the happiness of her subjects: That as England was her husband, wedded to her by this pledge (and here she shewed her finger with the same gold ring upon it, with which she had solemnly betrothed herself to the kingdom at her inauguration) so all Englishmen were her children; and while she was employed in rearing or governing such a family, she could not deem herself barren, or her life useless and unprofitable: That if she ever entertained thoughts of changing her condition, the care of her subjects' welfare would still be uppermost in her thoughts; but should she live and die a virgin, she doubted not but divine Providence, seconded by their counsels and her own measures, would be able to prevent all dispute with regard to the succession, and secure them a sovereign, who, perhaps better than her own issue, would imitate her example, in loving and cherishing her people: And that for her part, she desired that no higher character, or fairer remembrance of her should be transmitted to posterity, than to have this inscription engraved on her tomb-stone, when she should pay the last debt to nature; ""Here lies Elizabeth, who lived and died a maiden queen.""^x[22]"
Vol. 4 XL,4,,XL,P. 119-120,"OF ALL THE EUROPEAN CHURCHES, which shook off the yoke of papal authority, no one proceeded with so much reason and moderation as the church of England; an advantage, which had been derived partly from the interposition of the civil magistrate in this innovation, partly from the gradual and slow steps, by which the reformation was conducted in that kingdom. Rage and animosity against the catholic religion was as little indulged as could be supposed in such a revolution: The fabric of the secular hierarchy was maintained entire: The ancient liturgy was preserved, so far as was thought consistent with the new principles: Many ceremonies, become venerable from age and preceding use, were retained: The splendor of the Romish worship, though removed, had at least given place to order and decency: The distinctive habits of the clergy, according to their different ranks, were continued: No innovation was admitted merely from spite and opposition to former usage; And the new religion, by mitigating the genius of the ancient superstition, and rendering it more compatible with the peace and interests of society, had preserved itself in that happy medium, which wise men have always sought, and which the people have so seldom been able to maintain."
Vol. 4 APPENDIX III,4,,APPENDIX III,P. 354-355,"THE PARTY AMONG US, who have distinguished themselves by their adhering to liberty and a popular government, have long indulged their prejudices against the succeeding race of princes, by bestowing unbounded panegyrics on the virtue and wisdom of Elizabeth. They have even been so extremely ignorant of the transactions of this reign, as to extol her for a quality, which, of all others, she was the least possessed of; a tender regard for the constitution, and a concern for the liberties and privileges of her people. But as it is scarcely possible for the prepossessions of party to throw a veil much longer over facts so palpable and undeniable, there is danger lest the public should run into the opposite extreme, and should entertain an aversion to the memory of a princess, who exercised the royal authority in a manner so contrary to all the ideas, which we at present entertain of a legal constitution. But Elizabeth only supported the prerogatives, transmitted to her by her predecessors: She believed that her subjects were entitled to no more liberty than their ancestors had enjoyed: She found that they entirely acquiesced in her arbitrary administration: And it was not natural for her to find fault with a form of government, by which she herself was invested with such unlimited authority. In the particular exertions of power, the question ought never to be forgotten, What is best? But in the general distribution of power among the several members of a constitution, there can seldom be admitted any other question, than 〈〈What is established?〉〉{IVa(1759), 716.25: 〈〈What is usual?〉〉}†[1] Few examples occur of princes, who have willingly resigned their power: None of those who have, without struggle and reluctance, allowed it to be extorted from them. If any other rule than 〈〈established〉〉{IVa(1759), 716.27:〈〈ancient〉〉}†[2] practice be followed, factions and dissentions must multiply without end: And though many constitutions, and none more than the British, have been improved even by violent innovations, the praise, bestowed on those patriots, to whom the nation has been indebted for its privileges, ought to be given with some reserve, and surely without the least rancour against those who adhered to the ancient constitution.^l[1]{IVa(1759), 716.33: [note]}†[3]"
Vol. 4 APPENDIX III,4,,APPENDIX III,P. 355,"One of the most ancient and most established instruments of power was the court of Star-chamber, which possessed an unlimited discretionary authority of fining, imprisoning, and inflicting corporal punishment, and whose jurisdiction extended to all sorts of offences, contempts, and disorders, that lay not within reach of the common law. The members of this court consisted of the privy council and the judges; men, who all of them enjoyed their offices during pleasure: And when the prince himself was present, he was the sole judge, and all the others could only interpose with their advice. There needed but this one court in any government, to put an end to all regular, legal, and exact plans of liberty. For who durst set himself in opposition to the crown and ministry, or aspire to the character of being a patron of freedom, while exposed to so arbitrary a jurisdiction? I much question, whether any of the absolute monarchies in Europe contain, at present, so illegal and despotic a tribunal."
Vol. 5 XLVI,5,,XLVI,P. 46,"As far as any coherence can be traced among the systems of modern theology†[83], we may observe, that the doctrine of absolute decrees has ever been intimately connected with the enthusiastic spirit; as it affords the highest subject of joy, triumph, and security, to the supposed elect, and exalts them, by infinite degrees, above the rest of mankind. All the first reformers adopted these principles; and the Jansenists too, a fanatical sect in France, not to mention the Mahometans in Asia, have ever embraced them. As the Lutheran establishments were subjected to episcopal jurisdiction, their fanatical†[84] genius gradually decayed, and men had leisure to perceive the absurdity of supposing God to punish, by infinite torments, what he himself, from all eternity, had unchangeably decreed. The King, tho' at this time, his Calvinistic education had rivetted him fast in the doctrine of absolute decrees, yet, being a zealous partizan of episcopacy, was insensibly ingaged, towards the end of his reign, to favor the milder theology of Arminius. Even in so great a doctor, the genius of religion prevailed over its speculative tenets; and along with him, the whole clergy gradually dropped the more rigid principles of absolute reprobation and unconditional decrees. Some noise was, at first, made about these innovations; but being drowned in the fury of faction and civil wars, which succeeded, the scholastic arguments made an insignificant figure amid those violent disputes about civil and ecclesiastical power, with which the nation was agitated. And upon the restoration, the church, tho' she still retained her old subscriptions and articles of faith, was found to have totally changed her speculative doctrines, and to have embraced tenets more suitable to the genius of her discipline and worship, without its being possible to assign the precise period, in which the alteration was produced."
Vol. 5 XLVIII,5,,XLVIII,P. 80,"In that great revolution of manners, which happened during the sixteenth and the seventeenth centuries, the only nations, who had the honourable, though often melancholy advantage, of making an effort for their expiring privileges, were such as, together with the principles of civil liberty, were animated with a zeal for religious parties and opinions. Besides the irresistible force of standing armies, the European princes possessed this advantage, that they were descended from the ancient royal families; that they continued the same appellations of magistrates, the same appearance of civil government; and restraining themselves by all the forms of legal administration, could insensibly impose the yoke on their unguarded subjects. Even the German nations, who formerly broke the Roman chains, and restored liberty to mankind, now lost their own liberty, and saw with grief the absolute authority of their princes firmly established among them. In their circumstances, nothing but a pious 〈〈zeal〉〉{Va(1754), 75.28: 〈〈fanaticism〉〉}†[7], which disregards all motives of human prudence, could have made them entertain hopes of preserving any longer those privileges, which their ancestors, through so many ages, had transmitted to them."
Vol. 5 XLVIII,5,,XLVIII,P. 94-96,"and artificial additions were the successive invention of sovereigns and legislators; or, if they were obtruded on the prince by seditious subjects, their origin must appear, on that very account, still more precarious and unfavourable. In England, the authority of the king, in all the exterior forms of government and in the common style of law, appears totally absolute and sovereign; nor does the real spirit of the constitution, as it has ever discovered itself in practice, fall much short of these appearances. The parliament is created by his will; by his will it is dissolved. It is his will alone, though at the desire of both houses, which gives authority to laws. To all foreign nations, the majesty of the monarch seems to merit sole attention and regard. And no subject, who has exposed himself to royal indignation, can hope to live with safety in the kingdom; nor can he even leave it, according to law, without the consent of his master. If a magistrate, invironed with such power and splendor, should consider his authority as sacred, and regard himself as the anointed of heaven, his pretensions may bear a very favourable construction. Or, allowing them to be merely pious frauds, we need not be surprized, that the same stratagem which was practised by Minos, Numa, and the most celebrated legislators of antiquity, should now, in these restless and inquisitive times, be employed by the king of England. Subjects are not raised above that quality, though assembled in parliament. The same humble respect and deference is still due to their prince. Though he indulges them in the privilege of laying before him their domestic grievances, with which they are supposed to be best acquainted, this warrants not their bold intrusion into every province of government. And, to all judicious examiners, it must appear, ""That the lines of duty are as much transgressed by a more independent and less respectful exercise of acknowledged powers, as by the usurpation of such as are new and unusual."" The lovers of liberty, throughout the nation, reasoned after a different manner. It is in vain, said they, that the king traces up the English government to its first origin, in order to represent the privileges of parliament as dependent and precarious: Prescription and the practice of so many ages, must, long ere this time, have given a sanction to these assemblies, even though they had been derived from an origin no more dignified, than that which he assigns them. If the written records of the English nation, as asserted, represent parliaments to have arisen from the consent of monarchs, the principles of human nature, when we trace government a step higher, must show us, that monarchs themselves owe all their authority to the voluntary submission of the people. But, in fact, no age can be shown, when the English government was altogether an unmixed monarchy: And if the privileges of the nation have, at any period, been overpowered by violent irruptions of foreign force or domestic usurpation; the generous spirit of the people has ever seized the first opportunity of re-establishing the ancient government and constitution. Though in the style of the laws, and in the usual forms of administration, royal authority may be represented as sacred and supreme; whatever is essential to the exercise of sovereign and legislative power, must still be regarded as equally divine and inviolable. Or, if any distinction be made in this respect, the preference is surely due to those national councils, by whose interposition the exorbitancies of tyrannical power are restrained, and that sacred liberty is preserved, which heroic spirits, in all ages, have deemed more precious than life itself. Nor is it sufficient to say, that the mild and equitable administration of James, affords little occasion, or no occasion of complaint. How moderate soever the exercise of his prerogative, how exact soever his observance of the laws and constitution; ""If he founds his authority on arbitrary and dangerous principles, it is requisite to watch him with the same care, and to oppose him with the same vigour, as if he had indulged himself in all the excesses of cruelty and tyranny."" Amidst these disputes, the wise and moderate in the nation endeavoured to preserve, as much as possible, an equitable neutrality between the opposite parties; and the more they reflected on the course of public affairs, the greater difficulty they found in fixing just sentiments with regard to them. On the one hand, they regarded the very rise of parties as a happy prognostic of the establishment of liberty; nor could they ever expect to enjoy, in a mixed government, so invaluable a blessing, without suffering that inconvenience, which, in such governments, has ever attended it. But, when they considered, on the other hand, the necessary aims and pursuits of both parties, they were struck with apprehension of the consequences, and could discover no feasible plan of accommodation between them. From long practice, the crown was now possessed of so exorbitant a prerogative, that it was not sufficient for liberty to remain on the defensive, or endeavour to secure the little ground, which was left her: It was become necessary to carry on an offensive war, and to circumscribe, within more narrow, as well as more exact bounds, the authority of the sovereign. Upon such provocation, it could not but happen, that the prince, however just and moderate, would endeavour to repress his opponents; and, as he stood upon the very brink of arbitrary power, it was to be feared that he would, hastily and unknowingly, pass those limits, which were not precisely marked by the constitution. The turbulent government of England, ever fluctuating between privilege and prerogative, would afford a variety of precedents, which might be pleaded on both sides. In such delicate questions, the people must be divided: The arms of the state were still in their hands: A civil war must ensue; a civil war, where no party or both parties would justly bear the blame, and where the good and virtuous would scarcely know what vows to form; were it not that liberty, so necessary to the perfection of human society, would be sufficient to byass their affections towards the side of its defenders."
"Vol. 5, LV",5,,LV,P. 379-380,"It is remarkable how much the topics of argument were now reversed between the parties. The king, while he acknowledged his former error, of employing a plea of necessity, in order to infringe the laws and constitution, warned the parliament not to imitate an example, on which they threw such violent blame; and the parliament, while they cloathed their personal fears or ambition under the appearance of national and imminent danger, made unknowingly an apology for the most exceptionable part of the king's conduct. That the liberties of the people were no longer exposed to any peril from royal authority, so narrowly circumscribed, so exactly defined, so much unsupported by revenue and by military power, might be maintained upon very plausible topics: But that the danger, allowing it to have any existence, was not of that kind; great, urgent, inevitable; which dissolves all law and levels all limitations, seems apparent from the simplest view of these transactions. So obvious indeed was the king's present inability to invade the constitution, that the fears and jealousies, which operated on the people, and pushed them so furiously to arms, were undoubtedly not of a civil, but of a religious nature. The distempered imaginations of men were agitated with a continual dread of popery, with a horror against prelacy, with an antipathy to ceremonies and the liturgy, and with a violent affection for whatever was most opposite to these objects of aversion. The fanatical spirit, let loose, confounded all regard to ease, safety, interest; and dissolved every moral and civil obligation.[ ]{Va(1754), 330.10/28: [note]}†[20]^b[108]"
Vol. 5 LVI,5,,LVI,,"WHEN TWO NAMES, so sacred in the English constitution as those of KING and PARLIAMENT, were placed in opposition; no wonder the people were divided in their choice, and were agitated with most violent animosities and factions."
Vol. 5 LVI,5,,LVI,,"The nobility, and more considerable gentry, dreading a total confusion of rank from the fury of the populace, inlisted themselves in defence of the monarch, from whom they received, and to whom they communicated their lustre. Animated with the spirit of loyalty, derived from their ancestors, they adhered to the ancient principles of the constitution, and valued themselves on exerting the maxims, as well as inheriting the possessions, of the old English families. And while they passed their time mostly at their country-seats, they were surprised to hear of opinions prevailing,"
"Vol. 5, LVII",5,,LVII,P. 459-460,"Whatever ridicule, to a philosophical mind, may be thrown on pious ceremonies, it must be confessed, that, during a very religious age, no institutions can be more advantageous to the rude multitude, and tend more to mollify that fierce and gloomy spirit of devotion, to which they are subject. Even the English church, though it had retained a share of popish ceremonies, may justly be thought too naked and unadorned, and still to approach too near the abstract and spiritual religion of the puritans. Laud and his associates, by reviving a few primitive institutions of this nature, corrected the error of the first reformers, and presented to the affrightened and astonished mind, some sensible, exterior observances, which might occupy it during its religious exercises, and abate the violence of its disappointed efforts. The thought, no longer bent on that divine and mysterious essence, so superior to the narrow capacities of mankind, was able, by means of the new model of devotion, to relax itself in the contemplation of pictures, postures, vestments, buildings; and all the fine arts, which minister to religion, thereby received additional encouragement. The primate, it is true, conducted this scheme, not with the enlarged sentiments and cool reflection of a legislator, but with the intemperate zeal of a sectary; and by overlooking the circumstances of the times, served rather to enflame that religious fury, which he meant to repress. But this blemish is more to be regarded as a general imputation on the whole age, than any particular failing of Laud's; and it is sufficient for his vindication to observe, that his errors were the most excusable of all those, which prevailed during that zealous period."
